Company Name,Total number of students,"Total ""wins""","Total ""loses""",Win-loss balance,ELO,TrueSkill
Karos Health,4,3,4,-1,1355,16
Katlyn Vehicle Management Systems Inc,2,2,2,0,1384,10
kenna:,2,0,5,-5,1332,1
Kettleby Valley Camp,2,1,3,-2,1329,0
Khan Academy,3,8,3,5,1495,30
"Kik Interactive, Inc.",3,7,3,4,1493,27
Kira Talent,4,7,3,4,1422,20
Kobo Inc.,19,19,39,-20,1208,18
Kontagent,6,8,11,-3,1342,21
KPMG,2,2,6,-4,1355,9
KPMG Canada,2,2,4,-2,1379,13
Kumon,10,1,29,-28,1134,4
LEXER RESEARCH Inc.,2,7,1,6,1502,27
Leysin American School in Switzerland,3,2,3,-1,1344,9
LinkedIn,43,64,15,49,1657,34
Loblaw Companies Limited,5,5,6,-1,1359,17
LogicBlox,2,6,3,3,1462,22
Lookout,13,40,7,33,1694,34
LoyaltyOne,17,23,10,13,1510,27
Lumos Labs (Lumosity),2,8,0,8,1517,30
Magmic Inc.,2,1,5,-4,1363,6
Magna Exteriors and Magna Interiors,2,4,1,3,1464,20
Magna International,2,1,5,-4,1350,13
Magnet Forensics,3,11,2,9,1516,25
Magnum Semiconductor,2,3,2,1,1412,18
Magor Corporation,2,3,3,0,1393,12
Mallot Creek Group Inc.,2,0,5,-5,1325,1
Maluuba,6,8,2,6,1524,30
Manulife Financial,27,38,29,9,1405,25
Maple Leaf Foods Inc,10,13,22,-9,1310,19
Maplesoft,4,5,11,-6,1344,15
MappedIn,2,7,1,6,1470,24
Marc Garneau Collegiate Institute,2,3,4,-1,1373,12
Marsh Canada Limited,2,7,2,5,1467,24
Masstech Group Inc.,2,2,4,-2,1305,9
McAfee,13,32,10,22,1569,30
"McAfee, Waterloo",2,4,3,1,1413,19
McDonald's Canada,2,3,8,-5,1342,0
McDonald's Corporation,3,5,2,3,1417,0
McDonald's Restaurants of Canada Limited,2,0,9,-9,1295,0
McKinsey & Company,3,2,8,-6,1316,8
MD Physician Services,4,1,10,-9,1295,11
Me,2,7,2,5,1472,21
Meditech International Inc.,2,1,8,-7,1281,6
"Meraki, Inc.",2,2,1,1,1414,18
Mercatus Technologies Inc.,3,6,4,2,1416,19
Mercer,6,13,11,2,1429,24
Meridian Credit Union,2,2,4,-2,1394,12
Merrill Lynch,14,21,21,0,1394,24
Metadata Technologies,2,1,7,-6,1268,0
Metranome,2,1,8,-7,1329,12
Metro Inc,2,3,2,1,1409,15
Metroland,4,4,3,1,1356,17
Metrolinx,2,3,6,-3,1366,15
Microsemi,2,2,1,1,1434,11
Microsoft,128,211,41,170,1706,34
Midnight Sun Solar Rayce Car Team,2,0,4,-4,1337,0
Ministry of Government Services,3,0,13,-13,1259,0
Ministry of Health and Long-Term Care,3,1,10,-9,1321,4
Ministry of Infrastructure,2,3,1,2,1447,18
